"...1";"ID";"CASRN";"DTXSID";"Name";"IUPAC.NAME";"Molecular.formula";"SMILES";"InChI.String";"InChIKey";"Averagre.mass..amu.";"Monoisotopic.mass..amu.";"ORLD50";"DMLC50";"TPIGC50";"FMLC50";"DT";"AM";"ToxPi"
1;1;"112-80-1";"DTXSID1025809";"Oleic acid";"(9Z)-Octadec-9-enoic acid";"C18H34O2";"CCCCCCCCC=CCCCCCCCC(O)=O";"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-";"ZQPPMHVWECSIRJ-KTKRTIGZSA-N";"282.468";"282.2558803";"1.05";"5.17";"5.97";"3.14";"0.56";"0";"0.1686"
2;2;"112-85-6";"DTXSID3026930";"Docosanoic acid";"Docosanoic acid";"C22H44O2";"CCCCCCCCCCCCCCCCCCCCCC(O)=O";"InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)";"UKMSUNONTOPOIO-UHFFFAOYSA-N";"340.592";"340.3341307";"N/A";"5.15";"6.86";"6.66";"0.56";"-0.04";"-"
3;3;"1163-19-5";"DTXSID9020376";"1,1'-Oxybis[2,3,4,5,6-pentabromobenzene]";"1,1'-Oxybis(pentabromobenzene)";"C12Br10O";"BrC1=C(Br)C(Br)=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br";"InChI=1S/C12Br10O/c13-1-3(15)7(19)11(8(20)4(1)16)23-12-9(21)5(17)2(14)6(18)10(12)22";"WHHGLZMJPXIBIX-UHFFFAOYSA-N";"959.171";"949.178295";"N/A";"9.95";"N/A";"10.07";"N/A";"0";"0.0561"
4;4;"143-07-7";"DTXSID5021590";"Dodecanoic acid";"Dodecanoic acid";"C12H24O2";"CCCCCCCCCCCC(O)=O";"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)";"POULHZVOKOAJMA-UHFFFAOYSA-N";"200.322";"200.17763";"1.22";"4.54";"4.23";"5.09";"0.56";"0";"0.2254"
5;5;"50-29-3";"DTXSID4020375";"Dichlorodiphenyltrichloroethane";"1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-chlorobenzene)";"C14H9Cl5";"ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl";"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H";"YVGGHNCTFXOJCH-UHFFFAOYSA-N";"354.48";"351.9146888";"3.61";"8.27";"5.94";"7.27";"0.42";"0";"0.2875"
6;6;"506-30-9";"DTXSID1060134";"Eicosanoic acid";"Icosanoic acid";"C20H40O2";"CCCCCCCCCCCCCCCCCCCC(O)=O";"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)";"VKOBVWXKNCXXDE-UHFFFAOYSA-N";"312.538";"312.3028305";"N/A";"5.16";"6.41";"6.16";"0.56";"-0.06";"-"
7;7;"544-63-8";"DTXSID6021666";"Tetradecanoic acid";"Tetradecanoic acid";"C14H28O2";"CCCCCCCCCCCCCC(O)=O";"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)";"TUNFSRHWOTWDNC-UHFFFAOYSA-N";"228.376";"228.2089301";"N/A";"4.77";"4.84";"5.5";"0.55";"0";"0.2333"
8;8;"1957-10-3";"DTXSID2021602";"Hexadecanoic acid";"Hexadecanoic acid";"C16H32O2";"CCCCCCCCCCCCCCCC(O)=O";"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)";"IPCSVZSSVZVIGE-UHFFFAOYSA-N";"256.43";"256.2402303";"N/A";"4.9";"5.46";"5.66";"0.43";"0";"0.1629"
9;9;"58-89-9";"DTXSID2020686";"Lindane";"(1R,2S,3r,4R,5S,6r)-1,2,3,4,5,6-Hexachlorocyclohexane";"C6H6Cl6";"ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl";"InChI=1/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+";"JLYXXMFPNIAWKQ-GNIYUCBRSA-N";"290.81";"287.8600664";"3.46";"5.39";"N/A";"4.73";"0";"0.23";"0.2177"
10;10;"60-33-3";"DTXSID2025505";"Linoleic acid";"(9Z,12Z)-Octadeca-9,12-dienoic acid";"C18H32O2";"CCCCCC=CCC=CCCCCCCCC(O)=O";"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-";"OYHQOLUKZRVURQ-HZJYTTRNSA-N";"280.452";"280.2402303";"N/A";"5.28";"5.76";"5.89";"0.7";"0";"0.2437"
11;11;"84-66-2";"DTXSID7021780";"Diethyl phthalate";"Diethyl benzene-1,2-dicarboxylate";"C12H14O4";"CCOC(=O)C1=CC=CC=C1C(=O)OCC";"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3";"FLKPEMZONWLCSK-UHFFFAOYSA-N";"222.24";"222.0892089";"1.41";"3.6";"3.23";"4.12";"0.75";"0";"0.0524"
